SAT.V,SAT.Q,SAT.C,School,GPA,Status,Gender
620,570,1190,NATURAL SCIENCE,3.4,G,M
610,490,1100,LIBERAL ARTS,2.5,G,F
650,770,1420,NATURAL SCIENCE,4,G,M
530,580,1110,LIBERAL ARTS,3.1666,G,M
700,610,1310,LIBERAL ARTS,3.198,G,F
510,520,1030,LIBERAL ARTS,3.3854,G,F
560,680,1240,EDUCATION,3.2164,G,M
590,540,1130,LIBERAL ARTS,2.6803,G,F
630,710,1340,NATURAL SCIENCE,3.4821,G,M
690,600,1290,LIBERAL ARTS,3.62,G,F
650,650,1300,LIBERAL ARTS,2.6637,G,F
800,750,1550,ENGINEERING,3.777,G,M
590,590,1180,NATURAL SCIENCE,3.4586,G,F
670,710,1380,ENGINEERING,3.3088,G,F
590,590,1180,NATURAL SCIENCE,3.254,G,F
660,640,1300,BUSINESS,3.9459,G,M
580,620,1200,ENGINEERING,2.603,G,F
590,570,1160,LIBERAL ARTS,3.3508,G,M
520,660,1180,LIBERAL ARTS,3.1212,G,M
620,710,1330,ARCHITECTURE,3.902,G,M
660,620,1280,LIBERAL ARTS,3.5188,G,F
580,760,1340,LIBERAL ARTS,3.375,G,F
450,620,1070,BUSINESS,3.0093,G,F
560,580,1140,NATURAL SCIENCE,2.931,G,M
720,670,1390,NATURAL SCIENCE,3.8018,G,M
670,790,1460,NATURAL SCIENCE,3.9808,G,M
630,710,1340,ENGINEERING,3.0151,G,M
700,590,1290,LIBERAL ARTS,3.9565,G,F
610,730,1340,ENGINEERING,3.6694,G,M
560,660,1220,COMMUNICATIONS,4,G,F
640,680,1320,NATURAL SCIENCE,2.3157,G,F
540,550,1090,NATURAL SCIENCE,3.1848,G,M
700,690,1390,ENGINEERING,3.921,G,F
570,610,1180,NATURAL SCIENCE,3.3642,G,F
670,630,1300,LIBERAL ARTS,4,G,F
530,590,1120,LIBERAL ARTS,2.673,G,F
630,600,1230,LIBERAL ARTS,3.0833,G,F
690,800,1490,NATURAL SCIENCE,3.5942,G,M
440,430,870,LIBERAL ARTS,3.7812,G,F
580,610,1190,BUSINESS,3.26,G,M
560,610,1170,ENGINEERING,2.4068,G,F
740,720,1460,ARCHITECTURE,4,G,M
510,560,1070,NATURAL SCIENCE,3.9224,G,F
700,640,1340,LIBERAL ARTS,3.8032,G,F
540,640,1180,NATURAL SCIENCE,2.9448,G,M
710,760,1470,ENGINEERING,2.7777,G,F
580,650,1230,NATURAL SCIENCE,3.6615,G,F
560,630,1190,LIBERAL ARTS,3.1403,G,M
740,700,1440,NATURAL SCIENCE,3.0645,G,F
550,590,1140,LIBERAL ARTS,2.9,G,F
660,650,1310,LIBERAL ARTS,3.2083,G,M
600,560,1160,NATURAL SCIENCE,3.1926,G,M
680,610,1290,LIBERAL ARTS,3.3723,G,M
670,680,1350,LIBERAL ARTS,3.4166,G,F
470,580,1050,ENGINEERING,3.248,G,M
640,740,1380,COMMUNICATIONS,3.7142,G,M
800,630,1430,LIBERAL ARTS,3.5048,G,F
760,620,1380,LIBERAL ARTS,3.8396,G,F
380,520,900,ENGINEERING,3.1594,G,M
630,670,1300,NATURAL SCIENCE,2.745,G,F
710,690,1400,LIBERAL ARTS,3.8598,G,M
680,630,1310,LIBERAL ARTS,3.9381,G,M
630,620,1250,COMMUNICATIONS,3.7474,G,M
520,580,1100,LIBERAL ARTS,2.2421,G,F
610,520,1130,LIBERAL ARTS,3.1652,G,M
570,580,1150,BUSINESS,3.5227,G,M
670,670,1340,ENGINEERING,3.9347,G,F
630,560,1190,NATURAL SCIENCE,3.6504,G,M
710,780,1490,ENGINEERING,3.6763,G,F
630,580,1210,FINE ARTS,3.3113,G,F
710,710,1420,LIBERAL ARTS,3.9181,G,F
440,450,890,LIBERAL ARTS,3.5982,G,M
590,670,1260,BUSINESS,3.3719,G,M
610,640,1250,LIBERAL ARTS,2.783,G,F
540,690,1230,LIBERAL ARTS,3.1056,G,M
760,770,1530,NATURAL SCIENCE,3.5901,G,M
630,790,1420,ARCHITECTURE,3.9219,G,M
480,710,1190,BUSINESS,3.5148,G,M
710,640,1350,LIBERAL ARTS,2.6982,G,F
510,490,1000,LIBERAL ARTS,3,G,M
730,710,1440,BUSINESS,3.6465,G,F
630,610,1240,FINE ARTS,3.6019,G,M
510,630,1140,LIBERAL ARTS,3.1065,G,M
530,620,1150,LIBERAL ARTS,3.7714,G,F
710,630,1340,COMMUNICATIONS,3.9719,G,M
630,600,1230,NATURAL SCIENCE,3.7009,G,M
520,460,980,LIBERAL ARTS,3.3125,G,M
540,760,1300,ENGINEERING,3.1404,G,M
740,770,1510,ENGINEERING,3.5757,G,M
630,690,1320,BUSINESS,3.8739,G,F
750,680,1430,LIBERAL ARTS,3.5966,G,M
700,630,1330,COMMUNICATIONS,3.2805,G,F
540,640,1180,LIBERAL ARTS,2.8017,G,F
650,580,1230,LIBERAL ARTS,3.5,G,F
550,650,1200,EDUCATION,2.6428,G,M
650,670,1320,LIBERAL ARTS,3.8974,G,F
520,590,1110,BUSINESS,3.4392,G,F
430,500,930,LIBERAL ARTS,2.4435,G,F
650,700,1350,NATURAL SCIENCE,4,G,M
580,570,1150,LIBERAL ARTS,2.8318,G,F
700,720,1420,NATURAL SCIENCE,3.5968,G,M
530,410,940,COMMUNICATIONS,2.8548,G,M
580,650,1230,LIBERAL ARTS,3.5039,G,M
630,650,1280,ARCHITECTURE,3.2888,G,F
600,550,1150,BUSINESS,3.8857,G,M
590,560,1150,LIBERAL ARTS,3.3125,G,F
640,710,1350,ENGINEERING,2.5,G,M
710,580,1290,NATURAL SCIENCE,2.9509,G,F
540,580,1120,NATURAL SCIENCE,2.4205,G,F
710,720,1430,BUSINESS,3.629,G,F
600,630,1230,LIBERAL ARTS,3.8015,G,F
600,560,1160,LIBERAL ARTS,2.2935,G,F
630,710,1340,NATURAL SCIENCE,3.5648,G,M
520,580,1100,LIBERAL ARTS,3.6888,G,F
710,580,1290,NATURAL SCIENCE,2.912,G,F
600,540,1140,NATURAL SCIENCE,3.6896,G,F
510,520,1030,NATURAL SCIENCE,2.909,G,F
530,600,1130,BUSINESS,3.2148,G,M
530,660,1190,LIBERAL ARTS,2.8983,G,M
640,560,1200,BUSINESS,3.302,G,M
620,650,1270,ENGINEERING,3.48,G,M
650,620,1270,NATURAL SCIENCE,2.8372,G,F
510,490,1000,EDUCATION,3.0458,G,M
520,540,1060,COMMUNICATIONS,3.6237,G,F
490,490,980,LIBERAL ARTS,2.8727,G,F
650,660,1310,NATURAL SCIENCE,3.3688,G,M
800,710,1510,ENGINEERING,3.8496,G,M
630,710,1340,LIBERAL ARTS,2.4818,G,M
450,510,960,BUSINESS,3.3928,G,F
660,510,1170,LIBERAL ARTS,2.822,G,F
540,630,1170,LIBERAL ARTS,3.144,G,F
710,560,1270,BUSINESS,3.488,G,M
730,640,1370,FINE ARTS,3.7226,G,F
610,670,1280,ENGINEERING,2.7833,G,F
480,570,1050,ENGINEERING,2.6451,G,M
700,530,1230,LIBERAL ARTS,3.1588,G,M
750,700,1450,BUSINESS,3.6415,G,M
390,620,1010,FINE ARTS,2.9142,G,M
620,700,1320,NATURAL SCIENCE,3.7864,G,M
590,490,1080,NATURAL SCIENCE,3.7272,G,F
600,570,1170,LIBERAL ARTS,2.6237,G,M
640,750,1390,NATURAL SCIENCE,2.9556,G,M
620,560,1180,BUSINESS,3.404,G,F
760,670,1430,COMMUNICATIONS,2.9774,G,F
720,610,1330,LIBERAL ARTS,2.8201,G,M
680,670,1350,ENGINEERING,3.406,G,F
670,720,1390,NATURAL SCIENCE,3.4464,G,F
580,710,1290,NATURAL SCIENCE,3.1517,G,F
690,630,1320,LIBERAL ARTS,2.8793,G,M
650,600,1250,NATURAL SCIENCE,3.1682,G,F
630,570,1200,NATURAL SCIENCE,2.632,G,M
670,790,1460,ENGINEERING,3.9736,G,M
590,530,1120,EDUCATION,3.0984,G,M
690,800,1490,ENGINEERING,3.6065,G,F
570,650,1220,COMMUNICATIONS,3.4757,G,M
570,610,1180,LIBERAL ARTS,3.51,G,F
700,630,1330,NATURAL SCIENCE,2.676,G,F
640,720,1360,NATURAL SCIENCE,3.5952,G,F
700,700,1400,LIBERAL ARTS,3.7459,G,M
600,560,1160,BUSINESS,3.1965,G,M
520,530,1050,NATURAL SCIENCE,2.7741,G,M
490,420,910,LIBERAL ARTS,3.809,G,F
540,610,1150,ENGINEERING,2.8309,G,M
480,620,1100,BUSINESS,3.2187,G,M
550,590,1140,LIBERAL ARTS,3.0808,G,M
660,700,1360,LIBERAL ARTS,3.8839,G,M
630,700,1330,BUSINESS,3.5703,G,F
750,680,1430,LIBERAL ARTS,4,G,F
630,650,1280,BUSINESS,3.6057,G,F
620,650,1270,NATURAL SCIENCE,1.8372,G,F
490,440,930,BUSINESS,3.2413,G,M
540,720,1260,NATURAL SCIENCE,3.3664,G,M
610,610,1220,NATURAL SCIENCE,2.5271,G,F
700,660,1360,NATURAL SCIENCE,3.876,G,M
460,530,990,LIBERAL ARTS,2.5691,G,M
720,790,1510,ENGINEERING,3.3492,G,M
580,600,1180,NATURAL SCIENCE,3.3015,G,F
500,570,1070,NURSING,3.3649,G,F
560,800,1360,ENGINEERING,2.7633,G,M
600,720,1320,BUSINESS,3.2847,G,M
720,770,1490,NATURAL SCIENCE,3.612,G,F
580,610,1190,LIBERAL ARTS,3.1796,G,F
700,740,1440,ENGINEERING,3.6928,G,F
540,630,1170,LIBERAL ARTS,3.0088,G,M
520,470,990,LIBERAL ARTS,2.7592,G,F
610,560,1170,COMMUNICATIONS,3.7446,G,M
700,550,1250,NATURAL SCIENCE,3.2012,G,F
590,630,1220,LIBERAL ARTS,2.1646,G,F
700,610,1310,NATURAL SCIENCE,2.8761,G,F
530,450,980,LIBERAL ARTS,3.4871,G,M
490,560,1050,LIBERAL ARTS,3.0923,G,M
800,660,1460,NATURAL SCIENCE,2.6642,G,F
460,550,1010,LIBERAL ARTS,2.6783,G,F
610,610,1220,ENGINEERING,2.6619,G,F
580,670,1250,NATURAL SCIENCE,2.785,G,M
630,640,1270,LIBERAL ARTS,3.0648,G,M
530,640,1170,NATURAL SCIENCE,2.5189,G,F
610,690,1300,BUSINESS,3.9491,G,M
640,690,1330,ENGINEERING,3.653,G,M
550,550,1100,BUSINESS,3.3178,G,M
490,550,1040,LIBERAL ARTS,2.6808,G,F
540,650,1190,LIBERAL ARTS,2.6262,G,M
640,730,1370,ARCHITECTURE,3.7304,G,F
600,680,1280,NATURAL SCIENCE,2.6323,G,M
710,570,1280,LIBERAL ARTS,3.5128,G,M
580,590,1170,BUSINESS,3.2248,G,M
640,760,1400,ENGINEERING,3.6393,G,M
580,710,1290,LIBERAL ARTS,2.4491,G,M
550,650,1200,LIBERAL ARTS,3.3177,G,M
530,520,1050,EDUCATION,2.5609,G,F
680,610,1290,COMMUNICATIONS,3.5677,G,F
590,550,1140,NATURAL SCIENCE,2.648,G,F
570,650,1220,NATURAL SCIENCE,2.4652,G,F
600,700,1300,NATURAL SCIENCE,2.3839,G,M
550,710,1260,BUSINESS,3.102,G,M
600,690,1290,ENGINEERING,3.296,G,M
480,510,990,LIBERAL ARTS,2.4237,G,M
540,550,1090,LIBERAL ARTS,3.2719,G,F
760,710,1470,NATURAL SCIENCE,2.8029,G,F
650,620,1270,NATURAL SCIENCE,2.9256,G,M
640,560,1200,LIBERAL ARTS,2.6818,G,M
650,720,1370,ENGINEERING,3.8235,G,F
630,610,1240,ENGINEERING,3.4234,G,F
740,740,1480,BUSINESS,3.619,G,M
580,720,1300,NATURAL SCIENCE,2.3984,G,M
700,750,1450,ENGINEERING,2.6228,G,F
590,710,1300,COMMUNICATIONS,3.125,G,F
540,650,1190,ENGINEERING,3.4107,G,M
620,680,1300,COMMUNICATIONS,2.5984,G,M
650,760,1410,NATURAL SCIENCE,2.9589,G,M
630,630,1260,LIBERAL ARTS,2.9826,G,M
550,560,1110,LIBERAL ARTS,3.2844,G,F
670,580,1250,LIBERAL ARTS,3.6076,G,F
380,510,890,LIBERAL ARTS,2.0982,G,F
440,510,950,ENGINEERING,3.0326,G,F
400,590,990,EDUCATION,3.5339,G,M
620,540,1160,LIBERAL ARTS,3.5294,G,F
590,600,1190,BUSINESS,3.0673,G,M
630,620,1250,BUSINESS,2.3025,G,F
520,530,1050,BUSINESS,2.488,G,F
590,680,1270,NATURAL SCIENCE,3,G,M
590,700,1290,ENGINEERING,2.7898,G,F
730,640,1370,LIBERAL ARTS,3.7573,G,M
630,620,1250,NATURAL SCIENCE,3.8828,G,M
740,660,1400,ENGINEERING,3.5701,G,M
670,730,1400,BUSINESS,3.8151,G,M
620,640,1260,ENGINEERING,2.4919,G,M
660,600,1260,LIBERAL ARTS,3.425,G,F
530,630,1160,LIBERAL ARTS,3.4038,G,M
690,640,1330,BUSINESS,3.3643,G,M
570,490,1060,LIBERAL ARTS,3.6272,G,M
750,730,1480,ENGINEERING,3.4507,G,M
500,670,1170,NATURAL SCIENCE,2.6296,G,F
650,710,1360,BUSINESS,3.7281,G,F
610,790,1400,ENGINEERING,3.8492,G,M
610,570,1180,LIBERAL ARTS,3.4568,G,F
610,640,1250,BUSINESS,3.3965,G,M
450,540,990,LIBERAL ARTS,3.4,G,M
630,670,1300,LIBERAL ARTS,3.4598,G,M
580,740,1320,ENGINEERING,3.0884,G,M
720,750,1470,NATURAL SCIENCE,3.9025,G,M
570,770,1340,NATURAL SCIENCE,2.8012,G,F
650,550,1200,LIBERAL ARTS,3.3934,G,M
560,590,1150,LIBERAL ARTS,3,G,F
600,630,1230,NATURAL SCIENCE,3.2421,G,M
650,610,1260,LIBERAL ARTS,3.8672,G,M
490,690,1180,NATURAL SCIENCE,2.6935,G,F
570,580,1150,LIBERAL ARTS,2.9318,G,F
510,720,1230,ENGINEERING,2.5967,G,F
630,790,1420,ENGINEERING,4,G,F
540,620,1160,LIBERAL ARTS,3.496,G,F
800,700,1500,LIBERAL ARTS,3.8507,G,M
700,570,1270,BUSINESS,3.8659,G,M
790,660,1450,NATURAL SCIENCE,3.2751,G,M
600,560,1160,ENGINEERING,2.4814,G,F
620,640,1260,NATURAL SCIENCE,3.3937,G,M
580,680,1260,ENGINEERING,2.7622,G,M
580,660,1240,BUSINESS,3.9055,G,F
